nom,"nom de la râgion de patrimoine canadien, anglais","nom de la râgion de patrimoine canadien, franàais","nom de la province, anglais","nom de la province, franàais","nom de la râgion âconomique, anglais","nom de la râgion âconomique, franàais",latitude,longitude
name,"Canadian Heritage region name, english","Canadian Heritage region name, french","province name, english","province name, french","economic region name, english","economic region name, french",latitude,longitude
Arnold H. McLeod School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Moncton - Richibucto,Moncton - Richibucto,46.109526,-64.752929
Bernice MacNaughton High School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Moncton - Richibucto,Moncton - Richibucto,46.082289,-64.824206
Bessborough School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Moncton - Richibucto,Moncton - Richibucto,46.079474,-64.809723
Birchmount School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Moncton - Richibucto,Moncton - Richibucto,46.099931,-64.828502
Caledonia Regional High School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Moncton - Richibucto,Moncton - Richibucto,45.916642,-64.648157
Claude D. Taylor School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Moncton - Richibucto,Moncton - Richibucto,46.048691,-64.820092
Edith Cavell School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Moncton - Richibucto,Moncton - Richibucto,46.091532,-64.787486
Evergreen Park School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Moncton - Richibucto,Moncton - Richibucto,46.113188,-64.862358
Forest Glen School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Moncton - Richibucto,Moncton - Richibucto,46.12134,-64.771992
Frank L. Bowser School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Moncton - Richibucto,Moncton - Richibucto,46.059745,-64.795541
Harrison Trimble High School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Moncton - Richibucto,Moncton - Richibucto,46.097606,-64.814067
Hillcrest School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Moncton - Richibucto,Moncton - Richibucto,46.085276,-64.804527
J.M.A. Armstrong/Salisbury Middle School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Moncton - Richibucto,Moncton - Richibucto,46.02262,-65.044116
Lewisville Middle School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Moncton - Richibucto,Moncton - Richibucto,46.106795,-64.74601
